prob_id = 1001577 | rtt = 262.558 | hop = 18 | timestamp = 1701751285
prob_id = 1002617 | rtt = 147.453 | hop = 14 | timestamp = 1701751282
prob_id = 1003564 | rtt = 137.366 | hop = 11 | timestamp = 1701751285
prob_id = 1003619 | rtt = 227.163 | hop = 16 | timestamp = 1701751287
prob_id = 1004568 | rtt = 235.899 | hop = 15 | timestamp = 1701751286
prob_id = 1005715 | rtt = 164.885 | hop = 16 | timestamp = 1701751283
prob_id = 1006471 | rtt = 119.722 | hop = 20 | timestamp = 1701751289
prob_id = 1006691 | rtt = 147.762 | hop = 18 | timestamp = 1701751286
prob_id = 3200 | rtt = 50.98 | hop = 13 | timestamp = 1701751283
prob_id = 32810 | rtt = 254.484 | hop = 18 | timestamp = 1701751284
prob_id = 33230 | rtt = 176.987 | hop = 11 | timestamp = 1701751286
prob_id = 33690 | rtt = 149.0 | hop = 13 | timestamp = 1701751293
prob_id = 50525 | rtt = 240.974 | hop = 11 | timestamp = 1701751282
prob_id = 53613 | rtt = 269.228 | hop = 15 | timestamp = 1701751282
prob_id = 55234 | rtt = 135.199 | hop = 16 | timestamp = 1701751287
prob_id = 60900 | rtt = 145.064 | hop = 17 | timestamp = 1701751283
prob_id = 1001577 | rtt = 268.584 | hop = 255 | timestamp = 1701754883
prob_id = 1002617 | rtt = 147.545 | hop = 14 | timestamp = 1701754875
prob_id = 1003564 | rtt = 137.352 | hop = 11 | timestamp = 1701754889
prob_id = 1003619 | rtt = 227.255 | hop = 15 | timestamp = 1701754880
prob_id = 1004568 | rtt = 243.782 | hop = 14 | timestamp = 1701754882
prob_id = 1005715 | rtt = 164.966 | hop = 16 | timestamp = 1701754876
prob_id = 1005758 | rtt = 114.92 | hop = 18 | timestamp = 1701754876
prob_id = 1006471 | rtt = 119.078 | hop = 18 | timestamp = 1701754881
prob_id = 1006691 | rtt = 155.386 | hop = 19 | timestamp = 1701754886
prob_id = 14015 | rtt = 169.498 | hop = 13 | timestamp = 1701754884
prob_id = 14842 | rtt = 134.234 | hop = 17 | timestamp = 1701754881
prob_id = 24300 | rtt = 193.579 | hop = 16 | timestamp = 1701754888
prob_id = 24944 | rtt = 234.419 | hop = 15 | timestamp = 1701754876
prob_id = 3200 | rtt = 50.368 | hop = 14 | timestamp = 1701754886
prob_id = 32810 | rtt = 256.688 | hop = 18 | timestamp = 1701754883
prob_id = 33230 | rtt = 175.273 | hop = 10 | timestamp = 1701754878
prob_id = 33690 | rtt = 148.54 | hop = 13 | timestamp = 1701754883
prob_id = 50525 | rtt = 239.764 | hop = 11 | timestamp = 1701754882
prob_id = 50593 | rtt = 68.937 | hop = 16 | timestamp = 1701754872
prob_id = 51527 | rtt = 176.869 | hop = 13 | timestamp = 1701754876
prob_id = 53022 | rtt = 103.297 | hop = 17 | timestamp = 1701754888
prob_id = 53613 | rtt = 303.852 | hop = 16 | timestamp = 1701754876
prob_id = 55234 | rtt = 135.269 | hop = 17 | timestamp = 1701754887
prob_id = 60374 | rtt = 124.335 | hop = 12 | timestamp = 1701754881
prob_id = 60579 | rtt = 37.026 | hop = 13 | timestamp = 1701754889
prob_id = 60900 | rtt = 145.193 | hop = 18 | timestamp = 1701754889
prob_id = 61177 | rtt = 140.146 | hop = 9 | timestamp = 1701754882
prob_id = 62657 | rtt = 63.637 | hop = 15 | timestamp = 1701754880
prob_id = 1001577 | rtt = 272.579 | hop = 18 | timestamp = 1701758487
prob_id = 1002617 | rtt = 148.388 | hop = 14 | timestamp = 1701758488
prob_id = 1003564 | rtt = 136.7 | hop = 13 | timestamp = 1701758488
prob_id = 1003619 | rtt = 227.888 | hop = 15 | timestamp = 1701758482
prob_id = 1004568 | rtt = 234.999 | hop = 14 | timestamp = 1701758480
prob_id = 1005715 | rtt = 164.833 | hop = 16 | timestamp = 1701758479
prob_id = 1005758 | rtt = 114.929 | hop = 18 | timestamp = 1701758489
prob_id = 1006471 | rtt = 116.203 | hop = 18 | timestamp = 1701758484
prob_id = 1006691 | rtt = 146.438 | hop = 19 | timestamp = 1701758480
prob_id = 14015 | rtt = 170.743 | hop = 13 | timestamp = 1701758478
prob_id = 14842 | rtt = 134.742 | hop = 13 | timestamp = 1701758488
