prob_id = 1001577 | rtt = 19.858 | hop = 8 | timestamp = 1701751282
prob_id = 1002617 | rtt = 1.084 | hop = 10 | timestamp = 1701751286
prob_id = 1003564 | rtt = 2.726 | hop = 10 | timestamp = 1701751285
prob_id = 1005758 | rtt = 4.47 | hop = 11 | timestamp = 1701751282
prob_id = 14015 | rtt = 60.299 | hop = 255 | timestamp = 1701751285
prob_id = 14842 | rtt = 2.717 | hop = 11 | timestamp = 1701751282
prob_id = 24944 | rtt = 37.037 | hop = 7 | timestamp = 1701751282
prob_id = 32810 | rtt = 56.962 | hop = 9 | timestamp = 1701751283
prob_id = 50525 | rtt = 7.084 | hop = 7 | timestamp = 1701751287
prob_id = 50593 | rtt = 40.236 | hop = 14 | timestamp = 1701751282
prob_id = 53022 | rtt = 13.765 | hop = 12 | timestamp = 1701751285
prob_id = 53613 | rtt = 13.11 | hop = 7 | timestamp = 1701751283
prob_id = 60374 | rtt = 3.847 | hop = 10 | timestamp = 1701751289
prob_id = 60900 | rtt = 5.95 | hop = 13 | timestamp = 1701751288
prob_id = 62657 | rtt = 30.609 | hop = 9 | timestamp = 1701751287
prob_id = 1001577 | rtt = 20.522 | hop = 8 | timestamp = 1701754875
prob_id = 1002617 | rtt = 1.138 | hop = 10 | timestamp = 1701754876
prob_id = 1003564 | rtt = 2.61 | hop = 10 | timestamp = 1701754882
prob_id = 1003619 | rtt = 1.584 | hop = 8 | timestamp = 1701754876
prob_id = 1004568 | rtt = 2.393 | hop = 6 | timestamp = 1701754876
prob_id = 1005715 | rtt = 2.223 | hop = 10 | timestamp = 1701754882
prob_id = 1005758 | rtt = 4.456 | hop = 11 | timestamp = 1701754885
prob_id = 1006471 | rtt = 11.246 | hop = 10 | timestamp = 1701754880
prob_id = 1006691 | rtt = 10.78 | hop = 13 | timestamp = 1701754876
prob_id = 14015 | rtt = 63.638 | hop = 255 | timestamp = 1701754885
prob_id = 14842 | rtt = 2.708 | hop = 11 | timestamp = 1701754884
prob_id = 24300 | rtt = 16.934 | hop = 9 | timestamp = 1701754888
prob_id = 24944 | rtt = 36.454 | hop = 7 | timestamp = 1701754884
prob_id = 3200 | rtt = 6.02 | hop = 11 | timestamp = 1701754882
prob_id = 32810 | rtt = 94.157 | hop = 9 | timestamp = 1701754884
prob_id = 33230 | rtt = 11.088 | hop = 8 | timestamp = 1701754880
prob_id = 33690 | rtt = 3.337 | hop = 7 | timestamp = 1701754892
prob_id = 50525 | rtt = 10.644 | hop = 7 | timestamp = 1701754877
prob_id = 50593 | rtt = 42.134 | hop = 14 | timestamp = 1701754871
prob_id = 51527 | rtt = 24.544 | hop = 9 | timestamp = 1701754879
prob_id = 53022 | rtt = 13.03 | hop = 12 | timestamp = 1701754885
prob_id = 53613 | rtt = 13.169 | hop = 7 | timestamp = 1701754885
prob_id = 55234 | rtt = 20.06 | hop = 255 | timestamp = 1701754887
prob_id = 60374 | rtt = 4.352 | hop = 10 | timestamp = 1701754882
prob_id = 60579 | rtt = 9.683 | hop = 7 | timestamp = 1701754882
